pointingID,minT,maxT,deltaT
1,0.000875489981302551,0.000875489981302551,0
2,-0.00208152650433191,0.0018220454768845,0.00390357198121641
3,-0.00208043137605408,0.00182076570428717,0.00390119708034125
4,-0.00207927768002373,0.00181944402661998,0.0038987217066437
5,-0.00207810751239343,0.00181822093071475,0.00389632844310818
6,-0.00207701624210284,0.00181694499418951,0.00389396123629235
7,-0.00207589622516359,0.0018157726700659,0.00389166889522949
8,-0.00207475947192823,0.00181447154979856,0.00388923102172679
9,-0.00207366069786632,0.00181321944428114,0.00388688014214747
10,-0.00207249833598133,0.00181201178883362,0.00388451012481495
11,-0.00207135331898193,0.00181070928150415,0.00388206260048608
12,-0.00207026653425113,0.00180956116335266,0.00387982769760378
13,-0.00206910034506022,0.00180828113623772,0.00387738148129793
14,-0.00206798665748975,0.0018069718192538,0.00387495847674355
15,-0.0020668435388364,0.00180580246981297,0.00387264600864937
16,-0.00206571470113813,0.00180450001395304,0.00387021471509117
17,-0.00206458754903713,0.00180329164435649,0.00386787919339362
18,-0.00206344910316892,0.00180206204465667,0.00386551114782559
19,-0.00206229853277257,0.00180072964153911,0.00386302817431168
20,-0.00206117327092463,0.0017995869892895,0.00386076026021412
21,-0.00206002582767731,0.00179826312482079,0.00385828895249811
22,-0.00205893290099086,0.00179707158946464,0.0038560044904555
23,-0.00205773074630334,0.00179578855248947,0.00385351929879281
24,-0.00205663236742252,0.00179452605196969,0.00385115841939221
25,-0.00205550276835409,0.00179333275071988,0.00384883551907397
26,-0.0020543538985648,0.0017920730749142,0.003846426973479
27,-0.00205323728791551,0.00179082484344448,0.00384406213135999
28,-0.00205210773117509,0.00178961262931186,0.00384172036048695
29,-0.00205094243116068,0.00178830879882315,0.00383925122998383
30,-0.00204978560519024,0.00178717354118349,0.00383695914637373
31,-0.00204862762403975,0.00178586828179904,0.00383449590583878
32,-0.00204752741791804,0.00178472484840857,0.00383225226632661
33,-0.00204637215488149,0.00178342311572576,0.00382979527060726
34,-0.00204521078909378,0.00178212027964745,0.00382733106874123
35,-0.0020440627205726,0.0017809708941628,0.0038250336147354
36,-0.00204295862770504,0.00177964994430696,0.003822608572012
37,-0.0020418151998639,0.00177839484006813,0.00382021003993203
38,-0.00204071197677001,0.00177717915794016,0.00381789113471017
39,-0.00203953218243233,0.00177585061156338,0.0038153827939957
40,-0.00203843510649106,0.00177465691927358,0.00381309202576464
41,-0.00203731100405375,0.0017733996987383,0.00381071070279205
42,-0.00203616963674998,0.00177209620026417,0.00380826583701416
43,-0.002035016306938,0.00177091168075439,0.00380592798769239
44,-0.00203387941715673,0.00176964175275151,0.00380352116990824
45,-0.0020327597257619,0.00176842214697662,0.00380118187273852
46,-0.00203158044044325,0.0017671481693136,0.00379872860975685
47,-0.00203047837929855,0.00176585811777096,0.00379633649706951
48,-0.00202932808672773,0.00176469687010899,0.00379402495683672
49,-0.00202818914430488,0.00176338212182288,0.00379157126612775
50,-0.00202704786610659,0.00176211045933182,0.0037891583254384
51,-0.00202586255449469,0.00176092888548837,0.00378679143998305
52,-0.00202478187880182,0.00175965905576101,0.00378444093456284
53,-0.00202361700742767,0.00175843393470632,0.00378205094213399
54,-0.00202247418500891,0.0017571483173042,0.00377962250231311
55,-0.00202135750232007,0.00175589951986064,0.00377725702218071
56,-0.00202021615146915,0.00175470725911585,0.003774923410585
57,-0.00201905626879018,0.00175339045900375,0.00377244672779394
58,-0.00201794479697417,0.00175220617713472,0.00377015097410889
59,-0.00201676892944054,0.00175093727120507,0.00376770620064561
60,-0.00201565531383239,0.00174963608068527,0.00376529139451766
61,-0.00201452496643622,0.00174849448451299,0.0037630194509492
62,-0.00201338453985027,0.00174717273342486,0.00376055727327512
63,-0.00201221353336998,0.00174601661221159,0.00375823014558157
64,-0.00201102733715915,0.00174474606827494,0.00375577340543409
65,-0.00200991434247466,0.0017434846087955,0.00375339895127016
66,-0.00200874040881047,0.00174231548521374,0.00375105589402422
67,0.00172416228028528,0.00172416228028528,0
68,-0.00200883275168499,0.00174238508071699,0.00375121783240199
69,-0.0020076558233204,0.00174099591617978,0.00374865173950018
70,-0.00200653763489241,0.0017397383152285,0.00374627595012091
71,-0.002005371557752,0.00173853736324337,0.00374390892099537
72,-0.00200425603140195,0.0017372415143675,0.00374149754576945
73,-0.00200313209651401,0.00173599774945067,0.00373912984596469
74,-0.00200189876828858,0.00173472770081062,0.00373662646909921
75,-0.00200084607892945,0.00173345469484705,0.0037343007737765
76,-0.00199965696001387,0.00173223694562326,0.00373189390563713
77,-0.00199850575819114,0.00173099382484991,0.00372949958304106
78,-0.00199738582965247,0.00172969048633835,0.00372707631599082
79,-0.00199622476114205,0.00172850374166929,0.00372472850281133
80,-0.00199506935975374,0.00172719361107466,0.0037222629708284
81,-0.0019939582986297,0.00172595290312678,0.00371991120175648
82,-0.00199279372930284,0.00172475160677453,0.00371754533607738
83,-0.00199163275996212,0.00172343470839399,0.00371506746835611
84,-0.00199049211039185,0.00172216749648101,0.00371265960687285
85,-0.00198938233268783,0.00172103122383337,0.0037104135565212
86,-0.00198817509290969,0.00171967207791178,0.00370784717082147
87,-0.00198709355562302,0.00171845957837572,0.00370555313399874
88,-0.00198588509077308,0.00171724529805564,0.00370313038882873
89,-0.00198479722284703,0.0017159701947908,0.00370076741763782
90,-0.00198364100673028,0.00171468011988126,0.00369832112661154
91,-0.00198245717885905,0.00171352865170119,0.00369598583056024
92,-0.00198136472335886,0.00171220459024265,0.00369356931360151
93,-0.00198023516693037,0.00171103359895005,0.00369126876588042
