pointingID,minT,maxT,deltaT
1,0.000468381792442857,0.000468381792442857,0
2,-0.00229419346520502,0.00159002757452686,0.00388422103973187
3,-0.00229320220813412,0.00158864046311808,0.00388184267125221
4,-0.00229214691293164,0.00158722805760698,0.00387937497053862
5,-0.00229107722064113,0.00158591796475721,0.00387699518539834
6,-0.00229007733431771,0.00158454576966502,0.00387462310398273
7,-0.00228905213128579,0.00158329916154266,0.00387235129282845
8,-0.00228801933024916,0.00158191184990042,0.00386993118014958
9,-0.00228700945612332,0.00158057393234368,0.003867583388467
10,-0.00228593940591702,0.00157927996101673,0.00386521936693376
11,-0.00228490063924542,0.00157789079805715,0.00386279143730257
12,-0.00228390728239255,0.00157665413165077,0.00386056141404332
13,-0.0022828388613306,0.00157528670551856,0.00385812556684916
14,-0.00228182535993362,0.00157390381680835,0.00385572917674197
15,-0.00228077195029372,0.00157264811628371,0.00385342006657743
16,-0.00227974648980869,0.00157125982528031,0.003851006315089
17,-0.00227870599778589,0.00156996022183483,0.00384866621962072
18,-0.00227767136001403,0.00156866297737362,0.00384633433738765
19,-0.00227661499778077,0.00156722845046058,0.00384384344824135
20,-0.00227557873641265,0.00156600822371497,0.00384158696012762
21,-0.00227453665863202,0.00156459491472672,0.00383913157335874
22,-0.00227353582618057,0.00156332168559035,0.00383685751177092
23,-0.00227243431381163,0.00156195338077736,0.00383438769458899
24,-0.00227143078481449,0.00156060752659714,0.00383203831141163
25,-0.00227039148412044,0.00155932674387676,0.0038297182279972
26,-0.00226934526439239,0.00155798848251222,0.00382733374690461
27,-0.00226832116565368,0.00155664453393287,0.00382496569958655
28,-0.00226728819550929,0.00155536156934603,0.00382264976485531
29,-0.00226622469376876,0.00155396837439374,0.0038201930681625
30,-0.00226515286998368,0.00155275214799713,0.0038179050179808
31,-0.00226410787720233,0.00155136879768441,0.00381547667488673
32,-0.00226308779779763,0.00155013173674098,0.0038132195345386
33,-0.00226203733480815,0.00154875898806976,0.0038107963228779
34,-0.00226097157520818,0.0015473569500179,0.00380832852522608
35,-0.00225991207189024,0.00154613166774892,0.00380604373963917
36,-0.0022589145999308,0.00154472232244649,0.00380363692237729
37,-0.00225785516654895,0.00154337973249766,0.00380123489904661
38,-0.00225685533087128,0.00154209305921679,0.00379894839008807
39,-0.00225576345680255,0.00154067412523999,0.00379643758204255
40,-0.00225475743970117,0.00153939843179596,0.00379415587149713
41,-0.00225372747630035,0.00153805977443378,0.00379178725073412
42,-0.00225268819602051,0.00153667433558947,0.00378936253160998
43,-0.00225161224340244,0.00153540390659539,0.00378701614999783
44,-0.00225058844047589,0.00153405407010742,0.00378464251058331
45,-0.00224955177806699,0.00153274146578903,0.00378229324385602
46,-0.00224847280335716,0.0015313977558975,0.00377987055925466
47,-0.0022474692848145,0.00153001159465644,0.00377748087947094
48,-0.00224640089663978,0.00152878209666833,0.00377518299330811
49,-0.0022453615217709,0.00152737282214237,0.00377273434391326
50,-0.00224431602011501,0.00152601711722551,0.00377033313734051
51,-0.00224322932747519,0.00152476639565416,0.00376799572312935
52,-0.00224223842201161,0.00152340483578196,0.00376564325779357
53,-0.00224116337946579,0.00152209535244796,0.00376325873191375
54,-0.00224011717377768,0.00152073052310475,0.00376084769688242
55,-0.00223909143105275,0.00151940368632353,0.00375849511737628
56,-0.00223803941496606,0.00151813497472734,0.0037561743896934
57,-0.00223698698602808,0.0015167331938291,0.00375372017985719
58,-0.0022359592004857,0.00151546285639555,0.00375142205688125
59,-0.00223487989505751,0.00151412041799363,0.00374900031305115
60,-0.00223385838903779,0.00151272679756596,0.00374658518660374
61,-0.00223280927999073,0.00151151552446351,0.00374432480445425
62,-0.00223177472395289,0.00151011151699925,0.00374188624095213
63,-0.00223068668129382,0.00150886270820628,0.0037395493895001
64,-0.00222960766827585,0.00150752400461892,0.00373713167289478
65,-0.00222858580669764,0.00150617546528261,0.00373476127198025
66,-0.00222750918457026,0.00150492551132261,0.00373243469589287
67,0.00145055508511135,0.00145055508511135,0
68,-0.002227630514744,0.00150496795861422,0.00373259847335822
69,-0.00222654928001053,0.00150348666624858,0.00373003594625911
70,-0.00222551475710279,0.00150215418297732,0.00372766894008011
71,-0.00222444631252129,0.00150087826408331,0.0037253245766046
72,-0.0022234201445794,0.00149949881148792,0.00372291895606732
73,-0.00222238373420879,0.00149816924462862,0.00372055297883742
74,-0.00222124420425869,0.00149682450222489,0.00371806870648358
75,-0.00222028098632455,0.00149547103270003,0.00371575201902458
76,-0.00221918255461743,0.00149417023840546,0.00371335279302289
77,-0.00221813371181424,0.00149285719106475,0.00371099090287899
78,-0.00221709087159888,0.00149146367133351,0.0037085545429324
79,-0.00221601938025106,0.00149019834842724,0.00370621772867831
80,-0.00221495948274934,0.00148881297139557,0.0037037724541449
81,-0.0022139364503153,0.00148749348808833,0.00370142993840363
82,-0.0022128617267811,0.00148620908910618,0.00369907081588728
83,-0.00221179556585138,0.00148481168295678,0.00369660724880817
84,-0.0022107475635419,0.00148346566605651,0.00369421322959841
85,-0.00220971856325796,0.00148225619822945,0.00369197476148741
86,-0.00220861057019567,0.00148081328050098,0.00368942385069665
87,-0.00220761714508449,0.00147952537958283,0.00368714252466732
88,-0.00220649549049083,0.00147823423457353,0.00368472972506436
89,-0.00220549916275618,0.00147687706939274,0.00368237623214891
90,-0.00220443746816544,0.00147550872765544,0.00367994619582087
91,-0.0022033426595841,0.00147429051642989,0.00367763317601399
92,-0.00220234137038912,0.00147288220863539,0.00367522357902451
93,-0.00220129826186061,0.00147162770490215,0.00367292596676275
